01,064101233,WORKDAY,250821,1624,1,,,2/
02,WORKDAY,064101233,1,250821,,USD,2/
03,5056643,USD,010,,,Z/
16,451,39000,Z,00001,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250602 0841 SPARTA TN/
16,451,256447,Z,00002,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250603 0841 SPARTA TN/
16,451,172488,Z,00003,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250604 0841 SPARTA TN/
16,451,293517,Z,00004,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250605 0841 SPARTA TN/
16,451,52510,Z,00005,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250606 0841 SPARTA TN/
16,451,44915,Z,00006,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250609 0841 SPARTA TN/
16,451,143773,Z,00007,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250610 0841 SPARTA TN/
16,475,5204,Z,00008,,Maintenance Fee ANALYSIS LOSS-CHG FOR 05-31-25/
16,451,76600,Z,00009,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250611 0841 SPARTA TN/
16,451,46300,Z,00010,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250612 0841 SPARTA TN/
16,451,57400,Z,00011,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250613 0841 SPARTA TN/
16,451,12750,Z,00012,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250616 0841 SPARTA TN/
16,451,103600,Z,00013,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250617 0841 SPARTA TN/
16,451,102664,Z,00014,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250618 0841 SPARTA TN/
16,451,371642,Z,00015,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250620 0841 SPARTA TN/
16,451,94675,Z,00016,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250623 0841 SPARTA TN/
16,451,44377,Z,00017,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250623 0841 SPARTA TN/
16,451,48600,Z,00018,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250624 0841 SPARTA TN/
16,451,135749,Z,00019,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250625 0841 SPARTA TN/
16,451,30000,Z,00020,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250626 0841 SPARTA TN/
16,451,60819,Z,00021,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250627 0841 SPARTA TN/
16,451,59806,Z,00022,,Preauthorized Wd WORLD ACCEPTANCE CONC DEBIT 250630 0841 SPARTA TN/
16,301,256447,Z,00023,,Deposit 841/
16,301,172588,Z,00024,,Deposit 841/
16,301,293517,Z,00025,,Deposit 841/
16,301,52510,Z,00026,,Deposit 841/
16,301,44915,Z,00027,,Deposit 841/
16,301,143773,Z,00028,,Deposit 841/
16,301,76600,Z,00029,,Deposit 841/
16,301,46300,Z,00030,,Deposit 841/
16,301,57400,Z,00031,,Deposit 841/
16,301,12750,Z,00032,,Deposit 841/
16,301,103600,Z,00033,,Deposit 841/
16,301,102664,Z,00034,,Deposit 841/
16,301,371642,Z,00035,,Deposit 841/
16,301,94675,Z,00036,,Deposit 841/
16,301,44377,Z,00037,,Deposit 841/
16,301,48600,Z,00038,,Deposit 841/
16,301,135749,Z,00039,,Deposit 841/
16,301,30000,Z,00040,,Deposit 841/
16,301,60819,Z,00041,,Deposit 841/
16,301,59806,Z,00042,,Deposit 841/
16,301,112055,Z,00043,,Deposit 841/
49,216472,43/
98,216472,1,46/
99,216472,1,46/
